01,00,00,00,07,00,00,00
07,00,01,00,ff,ff,00,00
06,00,07,00,ff,ff,00,00
09,00,0a,00,0d,00,00,00
03,00,04,00,0b,00,00,00
04,00,05,00,0b,00,00,00
12,00,0f,00,ff,ff,00,00
0f,00,10,00,12,00,00,00
10,00,11,00,12,00,00,00
12,00,0e,00,ff,ff,00,00
13,00,0e,00,ff,ff,00,00
13,00,0a,00,0d,00,00,00
17,00,18,00,ff,ff,00,00
1e,00,1d,00,ff,ff,00,00
1d,00,1c,00,ff,ff,00,00
1c,00,1b,00,1e,00,00,00
1a,00,1b,00,1e,00,00,00
19,00,1a,00,ff,ff,00,00
19,00,18,00,ff,ff,00,00
2f,00,2e,00,ff,ff,00,00
2e,00,2d,00,2f,00,00,00
2d,00,2c,00,2f,00,00,00
2c,00,2b,00,ff,ff,00,00
23,00,22,00,0d,00,00,00
3a,00,16,00,0d,00,00,00
3a,00,36,00,ff,ff,00,00
0c,00,23,00,ff,ff,00,00
0d,00,37,00,ff,ff,00,00
21,00,25,00,0d,00,00,00
37,00,38,00,0d,00,00,00
35,00,36,00,0d,00,00,00
34,00,35,00,0d,00,00,00
0d,00,33,00,ff,ff,00,00
33,00,34,00,0d,00,00,00
24,00,2b,00,0d,00,00,00
26,00,27,00,ff,ff,00,00
30,00,26,00,ff,ff,00,00
28,00,29,00,ff,ff,00,00
38,00,23,00,ff,ff,00,00
17,00,1f,00,0d,00,00,00
16,00,13,00,ff,ff,00,00
0c,00,09,00,0d,00,00,00
22,00,09,00,ff,ff,00,00
0c,00,29,00,ff,ff,00,00
1f,00,33,00,ff,ff,00,00
3e,00,3d,00,40,00,00,00
3e,00,3f,00,40,00,00,00
2f,00,3c,00,ff,ff,00,00
3c,00,3b,00,ff,ff,00,00
31,00,30,00,41,00,00,00
31,00,32,00,41,00,00,00
45,00,44,00,ff,ff,00,00
44,00,43,00,ff,ff,00,00
42,00,3b,00,ff,ff,00,00
42,00,43,00,ff,ff,00,00
44,00,46,00,ff,ff,00,00
46,00,47,00,ff,ff,00,00
47,00,32,00,ff,ff,00,00
4a,00,49,00,41,00,00,00
48,00,49,00,41,00,00,00
48,00,32,00,41,00,00,00
28,00,50,00,ff,ff,00,00
59,00,3b,00,ff,ff,00,00
59,00,5c,00,58,00,00,00
5c,00,58,00,ff,ff,00,00
58,00,5a,00,ff,ff,00,00
5b,00,5a,00,58,00,00,00
4a,00,5d,00,41,00,00,00
5d,00,5e,00,ff,ff,00,00
5e,00,1c,00,ff,ff,00,00
60,00,5f,00,44,00,00,00
60,00,61,00,44,00,00,00
45,00,4c,00,ff,ff,00,00
45,00,5f,00,44,00,00,00
62,00,61,00,ff,ff,00,00
57,00,56,00,ff,ff,00,00
56,00,55,00,54,00,00,00
55,00,2a,00,54,00,00,00
68,00,65,00,6d,00,00,00
4a,00,63,00,ff,ff,00,00
64,00,63,00,6d,00,00,00
64,00,67,00,6d,00,00,00
72,00,71,00,ff,ff,00,00
71,00,70,00,6d,00,00,00
66,00,67,00,ff,ff,00,00
66,00,70,00,6d,00,00,00
72,00,6d,00,ff,ff,00,00
75,00,74,00,ff,ff,00,00
73,00,74,00,6d,00,00,00
4c,00,7d,00,44,00,00,00
7d,00,7e,00,44,00,00,00
7e,00,4f,00,ff,ff,00,00
4e,00,4f,00,44,00,00,00
4e,00,4d,00,44,00,00,00
83,00,4b,00,44,00,00,00
4b,00,81,00,ff,ff,00,00
81,00,82,00,ff,ff,00,00
81,00,80,00,44,00,00,00
80,00,7f,00,ff,ff,00,00
7f,00,4d,00,44,00,00,00
06,00,09,00,ff,ff,00,00
08,00,00,00,07,00,00,00
09,00,84,00,ff,ff,00,00
84,00,02,00,ff,ff,00,00
13,00,85,00,ff,ff,00,00
85,00,86,00,ff,ff,00,00
86,00,14,00,87,00,00,00
87,00,15,00,ff,ff,00,00
89,00,15,00,ff,ff,00,00
88,00,87,00,ff,ff,00,00
88,00,14,00,87,00,00,00
8f,00,89,00,8d,00,00,00
8f,00,90,00,8d,00,00,00
90,00,91,00,8d,00,00,00
91,00,8b,00,ff,ff,00,00
91,00,92,00,ff,ff,00,00
93,00,92,00,8d,00,00,00
8a,00,8d,00,ff,ff,00,00
8a,00,93,00,8d,00,00,00
0b,00,02,00,ff,ff,00,00
0b,00,03,00,ff,ff,00,00
94,00,05,00,ff,ff,00,00
7c,00,8b,00,ff,ff,00,00
8e,00,7b,00,ff,ff,00,00
7b,00,a7,00,ad,00,00,00
a9,00,a7,00,ad,00,00,00
a9,00,a8,00,ad,00,00,00
a8,00,ad,00,ff,ff,00,00
