42,01,f4,00,00,00,56,00,0f,00,d3,00
42,01,b4,00,00,00,01,00,0f,00,bf,00
54,00,60,01,00,00,51,00,10,00,d2,00
14,00,60,01,00,00,52,00,10,00,d2,00
14,00,a0,01,00,00,53,00,10,00,d2,00
54,00,a0,01,00,00,54,00,10,00,d2,00
02,01,b4,00,00,00,01,00,0f,00,bf,00
22,01,d4,00,00,00,01,00,0f,00,bf,00
02,01,f4,00,00,00,4e,00,0f,00,d3,00
a4,00,b4,00,00,00,01,00,01,00,be,00
30,00,e4,00,00,00,01,00,01,00,d2,00
34,00,80,01,00,00,01,00,10,00,d2,00
d4,00,40,00,00,00,27,00,01,00,be,00
30,00,40,00,00,00,44,00,01,00,be,00
4f,ff,b4,00,00,00,64,00,0e,00,bd,00
0f,ff,b4,00,00,00,65,00,0e,00,bd,00
0f,ff,f4,00,00,00,66,00,0e,00,d1,00
4f,ff,f4,00,00,00,67,00,0e,00,d1,00
2f,ff,d4,00,00,00,01,00,0e,00,bd,00
bc,ff,b4,00,00,00,01,00,01,00,bd,00
a1,ff,59,01,00,00,10,00,11,00,d1,00
61,ff,99,01,00,00,22,00,11,00,d1,00
e0,ff,90,00,00,00,01,00,01,00,bd,00
c0,ff,40,00,00,00,01,00,01,00,bd,00
8c,ff,40,00,00,00,01,00,01,00,bd,00
f7,fe,40,00,00,00,01,00,12,00,bc,00
5c,fe,40,00,00,00,1f,00,03,00,bc,00
3d,fe,f6,ff,00,00,13,00,03,00,bc,00
f4,fd,d8,ff,00,00,0b,00,03,00,a7,00
f4,fd,08,00,00,00,01,00,03,00,bb,00
f4,fd,40,00,00,00,2d,00,03,00,bb,00
e0,ff,f0,ff,00,00,2e,00,01,00,bd,00
30,00,04,00,00,00,01,00,01,00,be,00
80,00,f0,ff,00,00,01,00,01,00,be,00
80,00,90,00,00,00,7c,00,01,00,be,00
a0,00,40,00,00,00,0b,00,01,00,be,00
a4,00,cc,ff,00,00,01,00,01,00,aa,00
30,00,d0,ff,00,00,43,00,01,00,aa,00
bc,ff,cc,ff,00,00,01,00,01,00,a9,00
f2,fe,cc,ff,00,00,34,00,13,00,a8,00
2d,01,b3,ff,00,00,3b,00,14,00,ab,00
2d,01,3f,00,00,00,3a,00,15,00,bf,00
e3,00,45,ff,00,00,01,00,07,00,aa,00
30,00,9c,ff,00,00,01,00,01,00,aa,00
30,00,08,ff,00,00,3e,00,16,00,aa,00
70,00,08,ff,00,00,06,00,16,00,aa,00
70,00,c8,fe,00,00,12,00,16,00,96,00
50,00,e8,fe,00,00,02,00,16,00,aa,00
3b,ff,50,ff,00,00,01,00,02,00,a9,00
5a,ff,05,ff,00,00,22,00,02,00,a9,00
3b,ff,bb,fe,00,00,01,00,02,00,95,00
04,00,14,00,00,00,01,00,01,00,be,00
f4,ff,40,00,00,00,07,00,01,00,bd,00
04,00,6c,00,00,00,22,00,01,00,be,00
30,00,7c,00,00,00,03,00,01,00,be,00
5c,00,6c,00,00,00,01,00,01,00,be,00
6c,00,40,00,00,00,55,00,01,00,be,00
5c,00,14,00,00,00,01,00,01,00,be,00
30,00,b0,00,00,00,7a,00,01,00,be,00
30,00,77,fe,00,00,3c,00,0d,00,96,00
30,00,c8,fe,00,00,1e,00,16,00,96,00
ce,01,b3,ff,00,00,01,00,06,00,ab,00
b0,01,fd,ff,00,00,01,00,06,00,bf,00
ce,01,48,00,00,00,03,00,06,00,bf,00
18,02,fd,ff,00,00,03,00,06,00,c0,00
f2,fe,05,ff,00,00,78,00,02,00,a8,00
30,00,43,fe,00,00,02,00,0d,00,96,00
30,00,0f,fe,00,00,1b,00,0d,00,96,00
30,00,d3,fd,00,00,59,00,0d,00,82,00
30,00,97,fd,00,00,02,00,0d,00,82,00
e0,ff,23,fe,00,00,25,00,0d,00,95,00
bc,ff,47,fe,00,00,22,00,0d,00,95,00
f2,fe,9d,fe,00,00,01,00,02,00,94,00
a8,fe,bb,fe,00,00,22,00,02,00,94,00
8a,fe,05,ff,00,00,45,00,02,00,a8,00
f4,ff,d3,fd,00,00,27,00,0d,00,81,00
30,00,63,fd,00,00,13,00,0d,00,82,00
30,00,2f,fd,00,00,22,00,0d,00,82,00
a4,00,5f,fd,00,00,25,00,0d,00,82,00
d4,00,d3,fd,00,00,49,00,0d,00,82,00
2d,01,62,ff,00,00,01,00,07,00,ab,00
18,02,95,ff,00,00,42,00,06,00,ac,00
8e,01,3b,02,00,00,1d,00,1e,00,e7,00
44,01,59,02,00,00,01,00,1e,00,e7,00
2d,01,fa,fe,00,00,22,00,07,00,ab,00
c5,00,fa,fe,00,00,01,00,07,00,aa,00
e3,00,b0,fe,00,00,01,00,07,00,96,00
a4,00,47,fe,00,00,01,00,0d,00,96,00
c3,ff,e5,fe,00,00,79,00,17,00,a9,00
e3,ff,c5,fe,00,00,01,00,17,00,95,00
e3,ff,05,ff,00,00,01,00,17,00,a9,00
a3,ff,05,ff,00,00,01,00,17,00,a9,00
a3,ff,c5,fe,00,00,01,00,17,00,95,00
a8,fe,50,ff,00,00,01,00,02,00,a8,00
53,fe,92,ff,00,00,01,00,18,00,a8,00
5c,00,a7,fd,00,00,01,00,0d,00,82,00
6c,00,d3,fd,00,00,7b,00,0d,00,82,00
5c,00,ff,fd,00,00,10,00,0d,00,96,00
80,00,23,fe,00,00,0c,00,0d,00,96,00
9c,fd,05,ff,00,00,22,00,08,00,a7,00
6c,fd,91,fe,00,00,01,00,08,00,93,00
84,fc,91,fe,00,00,0e,00,08,00,92,00
f8,fc,95,fe,00,00,01,00,08,00,92,00
f8,fc,61,fe,00,00,22,00,08,00,92,00
54,fc,05,ff,00,00,01,00,08,00,a6,00
f8,fc,a9,ff,00,00,01,00,08,00,a6,00
84,fc,79,ff,00,00,0d,00,08,00,a6,00
88,fc,05,ff,00,00,01,00,08,00,a6,00
bc,fc,05,ff,00,00,01,00,08,00,a6,00
f8,fc,05,ff,00,00,35,00,08,00,a6,00
f8,fc,41,ff,00,00,22,00,08,00,a6,00
f8,fc,75,ff,00,00,08,00,08,00,a6,00
48,fd,b5,fe,00,00,05,00,08,00,93,00
68,fd,05,ff,00,00,01,00,08,00,a7,00
34,fd,05,ff,00,00,13,00,08,00,a7,00
f8,fc,c9,fe,00,00,1a,00,08,00,92,00
cc,fc,d9,fe,00,00,01,00,08,00,92,00
