1f,00,4d,02,00,00,03,00,00,00,00,00,00,00,00,00
b5,fd,51,01,00,00,07,00,00,00,00,00,00,00,00,00
fe,ff,1d,00,00,00,03,00,00,00,00,00,00,00,00,00
29,02,f5,fe,00,00,03,00,00,00,00,00,00,00,00,00
ff,ff,cd,fd,00,00,07,00,00,00,00,00,00,00,00,00
e7,fd,d7,fe,00,00,03,00,00,00,00,00,00,00,00,00
66,02,2d,01,00,00,07,00,00,00,00,00,00,00,00,00
fa,01,f1,fb,00,00,03,00,00,00,00,00,00,00,00,00
cf,fd,66,fc,00,00,03,00,00,00,00,00,00,00,00,00
4e,fb,3e,00,00,00,07,00,00,00,00,00,00,00,00,00
d7,fd,8c,03,00,00,03,00,00,00,00,00,00,00,00,00
0a,02,c3,03,00,00,07,00,00,00,00,00,00,00,00,00
91,04,24,00,00,00,03,00,00,00,00,00,00,00,00,00
22,05,35,02,00,00,07,00,00,00,00,00,00,00,00,00
07,00,f6,03,00,00,07,00,00,00,00,00,00,00,00,00
2a,fb,0f,02,00,00,03,00,00,00,00,00,00,00,00,00
ca,fb,e2,fd,00,00,07,00,00,00,00,00,00,00,00,00
e2,ff,f1,fb,00,00,07,00,00,00,00,00,00,00,00,00
26,04,a8,fd,00,00,07,00,00,00,00,00,00,00,00,00
52,03,75,fc,00,00,06,00,00,00,00,00,00,00,00,00
93,00,b9,fe,00,00,05,00,00,00,00,00,00,00,00,00
38,ff,f5,00,00,00,05,00,00,00,00,00,00,00,00,00
00,01,0c,01,00,00,05,00,00,00,00,00,00,00,00,00
72,03,35,02,00,00,02,00,00,00,00,00,00,00,00,00
b9,fb,58,03,00,00,06,00,00,00,00,00,00,00,00,00
62,fc,67,fc,00,00,06,00,00,00,00,00,00,00,00,00
1c,fd,98,fd,00,00,06,00,00,00,00,00,00,00,00,00
6b,01,24,00,00,00,02,00,00,00,00,00,00,00,00,00
a1,fe,fd,ff,00,00,02,00,00,00,00,00,00,00,00,00
cf,03,42,01,00,00,06,00,00,00,00,00,00,00,00,00
96,01,89,02,00,00,06,00,00,00,00,00,00,00,00,00
dc,03,f9,fe,00,00,02,00,00,00,00,00,00,00,00,00
9c,02,a8,fd,00,00,06,00,00,00,00,00,00,00,00,00
86,ff,c3,fe,00,00,05,00,00,00,00,00,00,00,00,00
64,fc,51,01,00,00,06,00,00,00,00,00,00,00,00,00
0a,ff,ba,fc,00,00,05,00,00,00,00,00,00,00,00,00
11,01,ce,fc,00,00,05,00,00,00,00,00,00,00,00,00
eb,fe,82,fe,00,00,01,00,00,00,00,00,00,00,00,00
12,01,60,fe,00,00,05,00,00,00,00,00,00,00,00,00
33,ff,15,03,00,00,05,00,00,00,00,00,00,00,00,00
f8,fe,72,01,00,00,01,00,00,00,00,00,00,00,00,00
fe,00,46,03,00,00,01,00,00,00,00,00,00,00,00,00
b0,fc,5c,02,00,00,02,00,00,00,00,00,00,00,00,00
fa,02,44,00,00,00,05,00,00,00,00,00,00,00,00,00
73,00,ee,fc,00,00,00,00,00,00,00,00,00,00,00,00
2f,ff,3c,fd,00,00,00,00,00,00,00,00,00,00,00,00
b2,fe,d0,fb,00,00,05,00,00,00,00,00,00,00,00,00
d3,fe,65,fc,00,00,04,00,00,00,00,00,00,00,00,00
79,03,24,00,00,00,04,00,00,00,00,00,00,00,00,00
cd,04,4f,01,00,00,00,00,00,00,00,00,00,00,00,00
45,05,4f,01,00,00,00,00,00,00,00,00,00,00,00,00
05,05,f2,00,00,00,00,00,00,00,00,00,00,00,00,00
da,fa,19,01,00,00,00,00,00,00,00,00,00,00,00,00
6b,fa,de,00,00,00,00,00,00,00,00,00,00,00,00,00
6b,fa,5e,01,00,00,00,00,00,00,00,00,00,00,00,00
d0,04,95,fe,00,00,05,00,00,00,00,00,00,00,00,00
c7,02,fb,fc,00,00,04,00,00,00,00,00,00,00,00,00
85,03,98,00,00,00,00,00,00,00,00,00,00,00,00,00
c8,fd,1d,00,00,00,01,00,00,00,00,00,00,00,00,00
71,02,fb,ff,00,00,05,00,00,00,00,00,00,00,00,00
e3,00,70,fb,00,00,05,00,00,00,00,00,00,00,00,00
04,01,f1,fb,00,00,04,00,00,00,00,00,00,00,00,00
7c,01,8c,fd,00,00,02,00,00,00,00,00,00,00,00,00
ac,fe,bb,fd,00,00,02,00,00,00,00,00,00,00,00,00
1f,00,15,ff,00,00,01,00,00,00,00,00,00,00,00,00
fe,ff,2f,01,00,00,01,00,00,00,00,00,00,00,00,00
95,fe,65,02,00,00,06,00,00,00,00,00,00,00,00,00
2d,fd,4e,00,00,00,04,00,00,00,00,00,00,00,00,00
84,fc,14,ff,00,00,02,00,00,00,00,00,00,00,00,00
86,fc,38,03,00,00,01,00,00,00,00,00,00,00,00,00
77,02,5e,02,00,00,01,00,00,00,00,00,00,00,00,00
b8,fd,7c,02,00,00,05,00,00,00,00,00,00,00,00,00
